bed=None,br=90,th=160,dpi=100,debug=True,resetbed=False,assignBeds=False,syringeMinPos=50,sygOffset=30,,,,
Filename,FolderID,FabID,Sample#,Region,AdvCALeft(deg),AdvCARight(deg),MaxDiameter(px),BED(px),,,,
20140828-11_11_31-CA9_L003B-09_BED392.MOV,CA9,L,3,B,76.58028397,57.86907516,802,392,,,,
20140828-11_16_31-CA9_L003B-10_BED380.MOV,CA9,L,3,B,74.2621575,77.93240893,815,380,,,,
20140828-11_22_32-CA9_L003B-11_BED384.MOV,CA9,L,3,B,71.0312045,69.64307772,857,384,,,,
20140828-11_28_36-CA9_L003B-12_BED381.MOV,CA9,L,3,B,78.01229937,76.67901963,808,381,,,,
20140828-11_33_51-CA9_L003B-13_BED384.MOV,CA9,L,3,B,75.8699342,75.51356359,801,384,,,,
20140828-11_47_07-CA9_INC002B-01_BED386.MOV,CA9,INC,2,B,91.27322214,88.14729033,808,386,,,,
20140828-11_51_46-CA9_INC002B-02_BED377.MOV,CA9,INC,2,B,74.9183148,77.50374081,744,377,,,,
20140828-11_56_58-CA9_INC002B-03_BED395.MOV,CA9,INC,2,B,93.66302526,80.03639266,766,395,,,,
20140828-12_02_03-CA9_INC002B-04_BED397.MOV,CA9,INC,2,B,76.03627968,76.95861272,864,397,,,,
20140828-15_21_19-CA9_INC002B-05_BED397.MOV,CA9,INC,2,B,85.22749372,88.32433775,818,397,,,,
20140828-15_26_56-CA9_INC002B-06_BED393.MOV,CA9,INC,2,B,68.40413835,72.10480217,814,393,,,,
20140828-15_31_34-CA9_INC002B-07_BED392.MOV,CA9,INC,2,B,63.73112892,79.04875322,822,392,,,,
20140828-15_35_56-CA9_INC002B-08_BED393.MOV,CA9,INC,2,B,81.95884921,81.51239181,821,393,,,,
20140828-15_40_33-CA9_INC002B-09_BED399.MOV,CA9,INC,2,B,81.71925505,81.35172936,817,399,,,,
20140828-15_45_23-CA9_INC002B-10_BED392.MOV,CA9,INC,2,B,76.61707919,77.94957118,846,392,,,,
20140828-15_50_06-CA9_INC002B-11_BED399.MOV,CA9,INC,2,B,70.91910108,74.26660461,900,399,,,,
20140828-17_02_47-CA9_AFCCA3-07_BED474.MOV,CA9,AF,CCA,3,70.76714188,67.16470059,939,474,,,,
20140828-17_07_17-CA9_AFCCA3-08_BED477.MOV,CA9,AF,CCA,3,68.61743448,72.32096727,767,477,,,,
20140828-17_29_53-CA9_AFCCA3-09_BED479.MOV,CA9,AF,CCA,3,72.2450973,70.93675962,844,479,,,,
20140828-17_34_23-CA9_AFCCA3-10_BED492.MOV,CA9,AF,CCA,3,62.97298071,67.46172479,760,492,,,,
20140828-17_38_26-CA9_AFCCA3-11_BED481.MOV,CA9,AF,CCA,3,66.93159168,70.42719196,760,481,,,,
20140828-17_42_26-CA9_AFCCA3-12_BED483.MOV,CA9,AF,CCA,3,70.44174879,69.85397903,748,483,,,,
20140828-17_47_26-CA9_AFCCA3-13_BED475.MOV,CA9,AF,CCA,3,68.13837043,72.4183056,802,475,,,,
20140828-17_51_35-CA9_AFCCA3-14_BED477.MOV,CA9,AF,CCA,3,69.692919,73.5774569,714,477,,,,
20140828-18_05_53-CA9_AFCCA3-15_BED490.MOV,CA9,AF,CCA,3,67.86349135,70.03208885,764,490,,,,
20140828-18_14_12-CA9_AFCCA3-16_BED420.MOV,CA9,AF,CCA,3,68.109081,70.85728378,821,420,,,,
20140828-18_18_49-CA9_AFCCA3-17_BED425.MOV,CA9,AF,CCA,3,74.3366739,74.39733014,832,425,,,,
20140828-18_23_36-CA9_AFCCA3-18_BED413.MOV,CA9,AF,CCA,3,64.73804898,66.46035089,885,413,,,,
20140828-18_27_31-CA9_AFCCA3-19_BED431.MOV,CA9,AF,CCA,3,66.45754504,66.7486446,650,431,,,,
